Fecha;pm25;so2;temperatura;humedad;ws;wd;radglobal;ppa
170308;9,18475;7,53837;15,55225833;86,3356875;1,175785433;183,1892583;267,3809583;755,275
170309;11,0981;3,80815;19,57230833;56,85085833;2,794502875;218,267225;260,7336667;757,0583333
170310;19,7716;16,6782;18,41697917;51,5621875;1,317856;238,4568208;265,556125;756,2791667
170311;15,8078;15,5827;18,66704583;52,0902;3,847648167;205,8263042;263,4342917;757,3791667
170312;18,9589;12,8576;19,23937917;51,62959167;2,863288458;172,1736542;263,898625;753,625
170313;11,4358;2,85958;15,33885833;81,43508333;1,940291042;150,4837042;199,7296667;754,0291667
170314;10,5181;2,79241;17,2777;79,43545833;2,15051025;139,3774167;222,3081667;756,0875
170315;12,4815;5,87533;15,60580417;84,006775;1,747423917;192,7898875;243,5164583;756,8166667
170316;11,2299;3,37837;15,16844167;87,49538333;1,107064667;168,0242667;96,6595;757,25
170317;11,82;5,64005;14,579175;88,486375;1,359036875;263,3975833;101,9058333;757,8333333
170318;15,2596;3,69027;14,62235417;87,40768333;1,490571375;183,6129292;179,5252083;756,4958333
170319;14,9455;3,15292;15,97746667;81,43010833;1,556229929;190,4819708;193,1851625;757,9208333
170320;17,7544;3,54558;15,88722083;82,65407083;1,492861913;162,8412667;207,5676708;757,775
170321;9,23795;3,40617;15,66614167;82,77079167;1,874600417;160,1067583;148,212125;756,8041667
170322;12,4931;2,8204;15,54770417;85,9960875;1,480784167;239,6625417;53,94258333;756,9583333
170323;10,532;2,66757;15,99535833;85,81622083;1,098701542;240,0735958;91,901125;755,9291667
170324;7,1193;3,67117;17,74385;76,76444583;1,860976667;159,7165208;98,87679208;756,2916667
170325;9,46342;3,57973;18,27765417;73,3758875;1,83508375;199,9683083;243,027;756,5458333
170326;8,87245;4,31512;18,29957083;63,6588125;2,246199417;180,2578458;247,1110458;756,8416667
170327;14,7127;21,0731;16,87638333;69,78217083;1,958705417;200,395275;241,7997917;756,3041667
170328;14,7963;11,8169;16,14482083;79,64771667;1,465350167;201,4979917;237,844;756,4416667
170329;10,1427;15,7866;16,13430833;75,95673333;1,704730504;193,2033917;227,1490833;757,8833333
170330;14,9339;20,8409;17,22319167;64,6522375;2,924385292;179,5850792;238,490125;755,8583333
170331;14,7297;35,9262;15,17007083;77,3909125;1,595589583;188,165175;236,7791667;756,8583333
170401;13,1771;10,4519;15,7416625;76,23045417;1,507190221;155,8189417;200,3845417;759,7375
170402;10,0553;13,0991;17,5942;60,91069167;3,839945167;194,5107375;227,4352917;758,4208333
170403;11,4005;14,0465;16,60195417;67,42269167;2,045760708;160,9789833;189,2597083;754,7708333
170404;15,2752;22,5556;15,15723333;80,47601667;1,510685792;173,5630125;192,681125;757,7416667
170405;16,9573;22,6393;17,7349625;65,95555;2,72617475;201,5394917;219,4539583;757,0125
170406;12,4205;11,7946;15,97854583;76,1933375;1,714283667;161,7642875;211,4892083;755,3083333
170407;4,4529;3,85271;15,94515;76,4247625;2,892928792;174,8086667;158,4515417;758,3375
170408;11,1129;22,181;14,81013542;67,8582875;2,638645833;189,9089417;221,540625;757,9041667
170409;18,3737;35,5878;14,24155542;71,69047083;1,531801375;168,3320208;219,5145417;757,2375
170410;22,413;59,6832;13,95816;78,90747917;1,607001208;142,5574875;222,6632083;757,0583333
170411;17,4127;26,6059;13,75775;85,645225;1,179492458;103,39865;171,263375;754,9291667
170412;12,443;12,4509;15,81010417;80,7684375;1,598160333;154,8027;177,2834167;755,3916667
170413;21,5291;52,6367;13,35844167;77,64233333;1,114724125;172,2283875;161,2392083;755,525
170414;18,3941;28,7305;16,11093333;75,584925;1,978127208;183,0093917;201,0525833;756,3583333
170415;18,0756;7,60808;15,99655833;74,38279167;1,138514333;189,1828208;88,7684125;756,3083333
170416;20,15;8,74364;15,62909583;81,56299167;1,270883208;189,1239417;106,2370833;754,7791667
170417;13,5219;5,44366;14,51631667;81,77966667;1,163422625;202,7534208;137,0169583;755,1125
170418;9,84389;7,3948;16,7693375;73,5508875;1,453629708;186,2937125;147,0504167;756,5166667
170419;14,0454;9,12759;15,92002917;81,49993333;1,301075;146,7528929;138,4189167;759,1916667
170420;7,06318;5,84969;18,2822125;74,28630417;1,774015792;171,306625;96,67525;759,8708333
170421;11,1902;3,9837;19,15535417;68,3993125;3,536553417;198,20125;194,575;757,4375
170422;20,6523;15,0201;17,88145417;64,6315875;2,770832042;150,3034958;191,4529583;757,1
170423;13,7094;12,1911;16,82362917;57,75938333;3,612022833;175,9595167;197,2222083;757,1625
170424;12,4298;6,9328;14,80989083;59,52197917;3,284767708;194,695;145,0692083;756,6083333
170425;;9,0303;16,30992917;60,998025;4,393077417;202,8860417;185,478625;759,8416667
170426;14,4944;8,00626;15,81361708;56,83498333;3,350617125;175,417575;192,1262917;758,6625
170427;25,0667;26,9891;15,42781458;53,520575;1,842702625;160,7594167;188,1969583;756,7291667
170428;19,686;27,1129;15,3413575;61,625275;2,073682625;169,1091125;183,9027917;756,5458333
170429;21,3285;19,5684;15,4885;68,04565833;1,882789958;150,3148267;180,5404583;755,2291667
170430;20,4832;17,856;13,388625;85,7678;1,427055208;119,6800833;115,1622083;755,975
170501;17;3,82;14,61835833;80,46285833;1,399137167;115,3740333;50,88975;757,9708333
170502;20;18,1;15,08615;75,74550417;1,598542292;174,4790417;139,0338333;759,3791667
170503;27;30,37;15,13204167;71,8652375;1,8087215;183,3713583;170,9876667;756,6416667
170504;16;13,3;12,0215625;90,6557875;0,826867213;122,5025;46,55091667;755,8458333
170505;20;9,78;13,29045417;83,8215875;1,269493042;88,801825;36,37545833;755,3541667
170506;9;3,49;15,7725625;71,1153375;2,021160042;122,7078167;86,509875;755,5291667
170507;7;4,05;14,53718333;92,43777917;2,026941667;130,1904667;21,751875;758,8666667
170508;8;3,21;16,48057083;84,33994583;2,004181583;141,1181375;147,3700833;757,7958333
170509;12;4,85;13,6055875;94,81171667;0,458264917;175,6934833;29,01529167;754,8875
170510;8;3,97;15,8076625;82,0170875;1,903451917;78,36594583;90,37808333;754,8708333
170511;3;4,58;15,02214583;83,56466667;4,389855417;53,8798125;15,35454167;754,1458333
170512;6;3,15;16,22364583;73,99960833;1,530018658;135,819825;74,86854167;754,4041667
170513;10;10,75;16,78752083;78,03972083;1,599286833;75,1713625;141,0372504;758,25
170514;11;27,27;15,3377;81,76234583;2,044800125;158,4281417;65,612;759,425
170515;15;16,43;14,3643625;81,8542125;2,157636721;181,0542521;115,0583338;758,6416667
170516;12;3,8;14,73421667;75,91875417;0,957246875;201,66835;56,44720833;759,2083333
170517;19;46,04;13,923575;79,50237083;1,958276792;134,6477167;114,6945413;757,5416667
170518;9;5,82;11,94287875;81,9539;2,119907167;164,9059083;72,04283333;759,5333333
170519;10;3,3;12,3453775;71,304025;3,34979;181,0096667;154,3411667;759,7166667
170520;22;28,07;12,31055208;74,26343333;2,055909875;144,8741971;151,2737917;759,0208333
170521;28;29,57;13,35785208;65,9033;1,858137708;184,4312875;145,3642083;757,325
170522;25;42,18;12,54531792;76,57042917;1,176928938;123,91855;75,19720833;756,5708333
170523;23;18,24;13,2732;81,63635417;1,186209042;183,4549167;31,26837542;757,0791667
170524;25;13,39;12,23394583;86,7623375;1,11282775;175,4177792;31,078875;755,8
170525;15;8,33;14,55777917;73,78414167;1,917237208;137,1624833;84,82341667;758,05
170526;26;45,9;13,60614583;74,893;1,611202417;129,9792958;132,580625;759,5208333
170527;30;34,4;12,84261625;77,99062917;2,0396296;147,271275;127,1619583;760,5625
170528;29;35,07;12,0117975;82,5017875;1,765441083;161,9872833;111,8076667;759,1666667
170529;21;19,24;13,002925;81,46229167;1,60121425;161,5360125;96,06270833;759,4458333
170530;26;25,38;14,36815833;77,08315;2,235965833;169,1129833;134,7443333;762,55
170531;32;29,28;13,54628458;76,29025;2,020175833;188,8363875;130,5798792;760,3416667
170601;32;38,41;12,90817208;74,34290417;1,702090708;159,1065925;130,2835417;758,7125
170602;26;34,97;11,62414292;74,4515125;2,384012583;152,9773092;116,1829583;757,4125
170603;14;4,38;12,81662042;64,07007083;3,320736667;190,5289583;134,0712083;759,525
170604;18;11,94;11,74643208;71,5278375;3,225590167;191,9394583;130,3925;758,6375
170605;17;5,44;10,54889458;75,3278;2,864896125;186,5585;119,6869583;758,0041667
170606;24;32,94;10,09887875;72,6;1,629136458;156,1139417;129,0640833;757,9083333
170607;31;67,36;8,143125;83,86796667;2,18069925;56,4918875;28,05612917;760,175
170608;13;5,45;12,62644125;82,29970417;2,839948375;168,4221292;78,60795833;766,2625
170609;16;7,49;14,04467958;65,4792125;2,97234075;190,8087083;128,092875;762,5
170610;21;21,06;14,3070275;59,5125375;2,893953333;179,69835;131,5318333;756,7333333
170611;28;35,65;10,7030675;83,8406375;1,097584333;80,313775;95,742875;757,6416667
170612;21;9,16;10,98719958;88,0613625;1,0703725;121,180375;36,61791667;757,6375
170613;17;10,18;13,07834167;77,65305;1,463048708;109,7257375;83,07670833;758,3166667
170614;14;13,18;13,74744167;74,7472625;2,12234;70,45112917;53,26325;757,9875
170615;20;53,81;12,87158;74,3754;2,851340833;70,78450833;86,11466667;756,2333333
170616;6;3,25;14,09470833;87,48093333;3,50157775;127,7646417;26,47991667;754,9083333
170617;8;3;12,559605;72,56018333;4,248833583;180,7875;99,22133333;762,0833333
170618;;;10,91502458;63,761125;2,777487083;130,6808333;128,9455;761,9958333
170619;12;29,71;10,94666042;63,50839583;1,386900913;162,6017583;69,90816667;757,8333333
170620;26;44,74;11,68708042;76,37552917;1,249412833;137,4225458;35,26808333;756,0958333
170621;10;5,85;13,20699167;79,73080417;2,155877083;126,714575;44,52833333;756,1208333
170622;6;2,36;13,12867083;90,08774583;2,043760542;121,6582125;10,21295833;756,5375
170623;7;4,91;14,04553333;90,79055;1,264646542;146,4842667;47,40792083;755,1625
170624;9;2,29;14,53381667;84,3291375;2,686228333;151,842375;28,78987083;752,5958333
170625;9;1,85;14,46517917;87,34094583;4,125076458;138,67915;19,02433333;754,125
170626;5;5,33;13,35848333;88,84816667;2,988348333;64,85330417;9,315791667;755,2125
170627;11;40,11;14,51520417;79,58737083;1,928499292;146,6527625;121,57725;760,275
170628;29;66,87;12,17639542;87,26310833;1,568310042;159,7345708;108,6992083;760,5541667
170629;19;12,54;12,91024083;80,554625;2,534027917;171,2080292;119,3936667;761,475
170630;21;27,52;15,11273583;66,25523333;2,378913417;171,0684375;125,9155417;758,2125
170701;18;15,81;12,51759667;81,37015417;1,556576208;82,02655833;67,725375;755,2375
170702;13;6,19;13,23168333;84,0558;1,312671208;121,053925;31,66591667;756,4666667
170703;6;3,85;13,624825;84,29365833;2,195914583;71,32347083;24,66720833;758,4916667
170704;13;4,65;11,87278583;81,9595875;2,531257542;165,7536208;66,11216625;761,0291667
170705;25;28,91;10,06257083;79,42722083;1,572262125;162,8828875;39,46683375;760,7291667
170706;23;21,24;11,95033;73,451375;1,552078583;148,7864;85,812125;729,5041667
170707;39;56,83;13,82656667;73,65277917;1,870941708;172,4212333;112,035875;760,9791667
